"customer_id","full_name","account_creation_date","month_since_signup","total_orders","total_spent","avg_order_value"
18,"Rima","2025-09-20",0,3,4503.00,1501.00
18,"Rima","2025-09-20",1,4,5966.00,1491.50
18,"Rima","2025-09-20",2,1,3336.00,3336.00
18,"Rima","2025-09-20",3,3,5710.00,1903.33
19,"Arif","2025-09-23",0,1,226.00,226.00
19,"Arif","2025-09-23",1,8,15431.00,1928.88
19,"Arif","2025-09-23",2,7,16703.00,2386.14
19,"Arif","2025-09-23",3,1,4520.00,4520.00
20,"Rafi","2025-09-17",0,3,4176.00,1392.00
20,"Rafi","2025-09-17",1,7,12455.00,1779.29
20,"Rafi","2025-09-17",2,4,9100.00,2275.00
20,"Rafi","2025-09-17",3,1,830.00,830.00
21,"Mahjabin","2025-09-14",0,1,1838.00,1838.00
21,"Mahjabin","2025-09-14",1,7,12594.00,1799.14
21,"Mahjabin","2025-09-14",2,4,7138.00,1784.50
22,"Ehsan","2025-10-04",0,4,3706.00,926.50
22,"Ehsan","2025-10-04",1,3,3870.00,1290.00
23,"Tanvir","2025-09-15",0,6,12078.00,2013.00
23,"Tanvir","2025-09-15",1,3,2033.00,677.67
23,"Tanvir","2025-09-15",2,3,3428.00,1142.67
24,"Sabbir","2025-09-15",0,2,4550.00,2275.00
24,"Sabbir","2025-09-15",1,5,9257.00,1851.40
24,"Sabbir","2025-09-15",2,5,7907.00,1581.40
24,"Sabbir","2025-09-15",3,2,4201.00,2100.50
25,"Sadika","2025-09-25",0,1,1830.00,1830.00
25,"Sadika","2025-09-25",1,2,3461.00,1730.50
25,"Sadika","2025-09-25",2,2,3649.00,1824.50
25,"Sadika","2025-09-25",3,4,8357.00,2089.25
26,"Riya","2025-09-14",0,4,4769.00,1192.25
26,"Riya","2025-09-14",1,3,5319.00,1773.00
26,"Riya","2025-09-14",2,2,4544.00,2272.00
27,"Irtaza","2025-09-15",0,4,8715.00,2178.75
27,"Irtaza","2025-09-15",2,2,3414.00,1707.00
27,"Irtaza","2025-09-15",3,3,9061.00,3020.33
28,"Shuvo","2025-09-20",0,3,5251.00,1750.33
28,"Shuvo","2025-09-20",1,6,9216.00,1536.00
28,"Shuvo","2025-09-20",2,5,10066.00,2013.20
28,"Shuvo","2025-09-20",3,3,6680.00,2226.67
29,"Towhid",NULL,NULL,19,31227.00,1643.53
30,"Ehsan","2025-09-16",0,1,904.00,904.00
30,"Ehsan","2025-09-16",1,3,4670.00,1556.67
30,"Ehsan","2025-09-16",2,4,5572.00,1393.00
30,"Ehsan","2025-09-16",3,1,580.00,580.00
31,"Tasnim","2025-09-15",0,2,1563.00,781.50
31,"Tasnim","2025-09-15",1,3,4644.00,1548.00
31,"Tasnim","2025-09-15",2,6,10340.00,1723.33
31,"Tasnim","2025-09-15",3,2,6385.00,3192.50
32,"Jahid","2025-09-14",0,4,6016.00,1504.00
32,"Jahid","2025-09-14",1,3,6691.00,2230.33
32,"Jahid","2025-09-14",2,5,9189.00,1837.80
32,"Jahid","2025-09-14",3,2,3794.00,1897.00
33,"Taushif","2025-09-17",0,3,6581.00,2193.67
33,"Taushif","2025-09-17",1,4,5485.00,1371.25
33,"Taushif","2025-09-17",3,2,6056.00,3028.00
34,"Abdullah","2025-09-23",0,3,5485.00,1828.33
34,"Abdullah","2025-09-23",1,6,8524.00,1420.67
34,"Abdullah","2025-09-23",2,2,4088.00,2044.00
34,"Abdullah","2025-09-23",3,4,7737.00,1934.25
35,"Maliha","2025-09-20",0,5,6348.00,1269.60
35,"Maliha","2025-09-20",1,1,934.00,934.00
35,"Maliha","2025-09-20",2,6,9202.00,1533.67
35,"Maliha","2025-09-20",3,1,3338.00,3338.00
36,"Rakib","2025-09-24",0,2,9676.00,4838.00
36,"Rakib","2025-09-24",1,6,11063.00,1843.83
36,"Rakib","2025-09-24",2,2,2709.00,1354.50
37,"Sanjida","2025-09-23",0,3,10447.00,3482.33
37,"Sanjida","2025-09-23",1,5,10403.00,2080.60
37,"Sanjida","2025-09-23",2,4,7514.00,1878.50
37,"Sanjida","2025-09-23",3,1,920.00,920.00
38,"Sajeeb","2025-09-16",0,1,1195.00,1195.00
38,"Sajeeb","2025-09-16",1,3,3400.00,1133.33
38,"Sajeeb","2025-09-16",2,3,4541.00,1513.67
38,"Sajeeb","2025-09-16",3,3,2785.00,928.33
39,"Samia","2025-09-14",0,2,1892.00,946.00
39,"Samia","2025-09-14",1,4,10127.00,2531.75
39,"Samia","2025-09-14",2,4,5935.00,1483.75
39,"Samia","2025-09-14",3,2,3690.00,1845.00
40,"Siam","2025-09-16",0,4,7114.00,1778.50
40,"Siam","2025-09-16",1,5,14700.00,2940.00
40,"Siam","2025-09-16",2,4,11701.00,2925.25
40,"Siam","2025-09-16",3,1,790.00,790.00
41,"Naila","2025-09-15",0,4,10414.00,2603.50
41,"Naila","2025-09-15",1,4,5360.00,1340.00
41,"Naila","2025-09-15",2,2,1439.00,719.50
41,"Naila","2025-09-15",3,1,820.00,820.00
42,"Abrar","2025-09-14",0,2,4848.00,2424.00
42,"Abrar","2025-09-14",1,4,7429.00,1857.25
42,"Abrar","2025-09-14",2,3,3670.00,1223.33
42,"Abrar","2025-09-14",3,2,2944.00,1472.00
43,"Towhid","2025-09-14",0,3,5777.00,1925.67
43,"Towhid","2025-09-14",2,1,1284.00,1284.00
44,"Kamal","2025-09-16",0,3,2990.00,996.67
44,"Kamal","2025-09-16",1,4,10486.00,2621.50
44,"Kamal","2025-09-16",2,4,4002.00,1000.50
44,"Kamal","2025-09-16",3,1,4347.00,4347.00
45,"Ehsan","2025-09-23",0,2,2108.00,1054.00
45,"Ehsan","2025-09-23",1,2,2412.00,1206.00
45,"Ehsan","2025-09-23",2,6,9490.00,1581.67
45,"Ehsan","2025-09-23",3,2,5076.00,2538.00
46,"Keya","2025-09-26",0,2,3815.00,1907.50
46,"Keya","2025-09-26",1,4,8179.00,2044.75
46,"Keya","2025-09-26",2,5,9827.00,1965.40
46,"Keya","2025-09-26",3,3,7830.00,2610.00
47,"Sumaiya","2025-09-14",0,3,3664.00,1221.33
47,"Sumaiya","2025-09-14",1,8,13085.00,1635.63
47,"Sumaiya","2025-09-14",2,2,2895.00,1447.50
48,"Rakib","2025-10-03",0,5,13624.00,2724.80
48,"Rakib","2025-10-03",1,4,8510.00,2127.50
48,"Rakib","2025-10-03",2,1,920.00,920.00
49,"Sanjida","2025-09-20",0,1,1010.00,1010.00
49,"Sanjida","2025-09-20",1,7,11510.00,1644.29
49,"Sanjida","2025-09-20",3,2,3350.00,1675.00
50,"Jamal","2025-09-18",0,1,535.00,535.00
50,"Jamal","2025-09-18",1,2,3047.00,1523.50
50,"Jamal","2025-09-18",2,7,10709.00,1529.86
50,"Jamal","2025-09-18",3,4,6780.00,1695.00
51,"Jamal","2025-09-24",0,3,5557.00,1852.33
51,"Jamal","2025-09-24",1,5,11311.00,2262.20
51,"Jamal","2025-09-24",3,3,8000.00,2666.67
52,"Afrin","2025-09-17",0,6,12149.00,2024.83
52,"Afrin","2025-09-17",1,4,5097.00,1274.25
52,"Afrin","2025-09-17",2,4,12733.00,3183.25
52,"Afrin","2025-09-17",3,1,1225.00,1225.00
53,"Maliha","2025-09-24",0,1,840.00,840.00
53,"Maliha","2025-09-24",1,1,2239.00,2239.00
53,"Maliha","2025-09-24",2,4,5392.00,1348.00
53,"Maliha","2025-09-24",3,2,1975.00,987.50
54,"Jahid",NULL,NULL,13,22284.00,1714.15
55,"Raihan","2025-09-17",0,3,6335.00,2111.67
55,"Raihan","2025-09-17",1,6,8863.00,1477.17
55,"Raihan","2025-09-17",2,2,2120.00,1060.00
55,"Raihan","2025-09-17",3,3,5602.00,1867.33
56,"Moumita","2025-09-20",0,1,783.00,783.00
56,"Moumita","2025-09-20",1,5,10241.00,2048.20
56,"Moumita","2025-09-20",2,4,12488.00,3122.00
56,"Moumita","2025-09-20",3,1,1248.00,1248.00
57,"Fahim","2025-09-17",0,2,2254.00,1127.00
57,"Fahim","2025-09-17",1,4,5861.00,1465.25
57,"Fahim","2025-09-17",2,4,8221.00,2055.25
57,"Fahim","2025-09-17",3,3,7077.00,2359.00
58,"Rakib","2025-09-19",0,3,1799.00,599.67
58,"Rakib","2025-09-19",1,6,8603.00,1433.83
58,"Rakib","2025-09-19",2,6,12351.00,2058.50
58,"Rakib","2025-09-19",3,2,3733.00,1866.50
59,"Taushif","2025-09-15",0,6,6679.00,1113.17
59,"Taushif","2025-09-15",1,2,1691.00,845.50
59,"Taushif","2025-09-15",2,5,8365.00,1673.00
59,"Taushif","2025-09-15",3,1,4561.00,4561.00
60,"Raihan","2025-09-14",0,2,2857.00,1428.50
60,"Raihan","2025-09-14",1,1,560.00,560.00
60,"Raihan","2025-09-14",2,2,4776.00,2388.00
60,"Raihan","2025-09-14",3,2,2350.00,1175.00
61,"Oli","2025-10-13",0,4,5925.00,1481.25
61,"Oli","2025-10-13",1,5,11742.00,2348.40
61,"Oli","2025-10-13",2,1,1887.00,1887.00
62,"Rumana",NULL,NULL,16,30324.00,1895.25
63,"Rafi","2025-09-14",0,2,1644.00,822.00
63,"Rafi","2025-09-14",1,6,13335.00,2222.50
63,"Rafi","2025-09-14",2,3,6763.00,2254.33
63,"Rafi","2025-09-14",3,2,4433.00,2216.50
64,"Mehedi","2025-09-17",0,3,4597.00,1532.33
64,"Mehedi","2025-09-17",1,10,15738.00,1573.80
64,"Mehedi","2025-09-17",2,1,3040.00,3040.00
64,"Mehedi","2025-09-17",3,1,1007.00,1007.00
65,"Afrin","2025-09-14",0,2,3039.00,1519.50
65,"Afrin","2025-09-14",1,3,4590.00,1530.00
65,"Afrin","2025-09-14",2,4,8270.00,2067.50
66,"Rodela","2025-09-17",0,2,3062.00,1531.00
66,"Rodela","2025-09-17",1,3,4958.00,1652.67
66,"Rodela","2025-09-17",2,5,7743.00,1548.60
67,"Sumaiya","2025-09-19",0,3,8418.00,2806.00
67,"Sumaiya","2025-09-19",1,5,7171.00,1434.20
67,"Sumaiya","2025-09-19",2,2,4136.00,2068.00
67,"Sumaiya","2025-09-19",3,1,1890.00,1890.00
68,"Mahjabin","2025-09-16",0,4,8270.00,2067.50
68,"Mahjabin","2025-09-16",1,4,11790.00,2947.50
68,"Mahjabin","2025-09-16",2,3,5825.00,1941.67
68,"Mahjabin","2025-09-16",3,3,3225.00,1075.00
69,"Sadika","2025-09-23",0,2,2910.00,1455.00
69,"Sadika","2025-09-23",1,4,7097.00,1774.25
69,"Sadika","2025-09-23",2,6,12473.00,2078.83
69,"Sadika","2025-09-23",3,1,916.00,916.00
70,"Raisa","2025-09-14",0,5,7685.00,1537.00
70,"Raisa","2025-09-14",1,5,13708.00,2741.60
70,"Raisa","2025-09-14",2,5,8611.00,1722.20
70,"Raisa","2025-09-14",3,5,11147.00,2229.40
71,"Akash","2025-09-16",0,1,3638.00,3638.00
71,"Akash","2025-09-16",1,4,7387.00,1846.75
71,"Akash","2025-09-16",2,2,3098.00,1549.00
71,"Akash","2025-09-16",3,2,2980.00,1490.00
72,"Abdullah",NULL,NULL,14,23753.00,1696.64
73,"Masud","2025-09-17",0,2,4051.00,2025.50
73,"Masud","2025-09-17",1,3,7862.00,2620.67
73,"Masud","2025-09-17",2,5,8080.00,1616.00
73,"Masud","2025-09-17",3,3,9133.00,3044.33
74,"Rafi","2025-09-23",0,2,3690.00,1845.00
74,"Rafi","2025-09-23",1,2,5461.00,2730.50
74,"Rafi","2025-09-23",2,1,1104.00,1104.00
74,"Rafi","2025-09-23",3,1,740.00,740.00
75,"Abrar","2025-09-14",0,3,7338.00,2446.00
75,"Abrar","2025-09-14",1,3,4131.00,1377.00
75,"Abrar","2025-09-14",2,1,2655.00,2655.00
75,"Abrar","2025-09-14",3,2,2225.00,1112.50
76,"Rima","2025-09-27",0,2,3333.00,1666.50
76,"Rima","2025-09-27",1,5,9347.00,1869.40
76,"Rima","2025-09-27",2,5,11239.00,2247.80
76,"Rima","2025-09-27",3,4,6320.00,1580.00
77,"Shahriar","2025-09-17",0,2,2036.00,1018.00
77,"Shahriar","2025-09-17",1,8,13160.00,1645.00
77,"Shahriar","2025-09-17",2,5,7913.00,1582.60
77,"Shahriar","2025-09-17",3,3,8741.00,2913.67
78,"Mariya","2025-09-18",0,5,6327.00,1265.40
78,"Mariya","2025-09-18",1,5,9196.00,1839.20
78,"Mariya","2025-09-18",2,4,6830.00,1707.50
78,"Mariya","2025-09-18",3,2,2747.00,1373.50
79,"Yasin","2025-09-25",0,2,1932.00,966.00
79,"Yasin","2025-09-25",1,3,7969.00,2656.33
79,"Yasin","2025-09-25",2,4,5340.00,1335.00
79,"Yasin","2025-09-25",3,3,4790.00,1596.67
80,"Ayon","2025-09-17",0,1,980.00,980.00
80,"Ayon","2025-09-17",1,4,9847.00,2461.75
80,"Ayon","2025-09-17",2,5,7106.00,1421.20
80,"Ayon","2025-09-17",3,3,6277.00,2092.33
81,"Kamal","2025-09-26",0,1,2455.00,2455.00
81,"Kamal","2025-09-26",1,4,4525.00,1131.25
81,"Kamal","2025-09-26",2,3,6975.00,2325.00
81,"Kamal","2025-09-26",3,2,7700.00,3850.00
82,"Priya","2025-09-26",0,2,2582.00,1291.00
82,"Priya","2025-09-26",1,7,8065.00,1152.14
82,"Priya","2025-09-26",2,3,3393.00,1131.00
82,"Priya","2025-09-26",3,4,6787.00,1696.75
83,"Raisa","2025-09-18",0,3,5191.00,1730.33
83,"Raisa","2025-09-18",1,4,7304.00,1826.00
83,"Raisa","2025-09-18",2,4,5497.00,1374.25
83,"Raisa","2025-09-18",3,1,2230.00,2230.00
84,"Farzana","2025-10-16",0,1,419.00,419.00
84,"Farzana","2025-10-16",1,2,6015.00,3007.50
85,"Siam","2025-09-28",0,1,1170.00,1170.00
85,"Siam","2025-09-28",1,2,3156.00,1578.00
85,"Siam","2025-09-28",2,6,13048.00,2174.67
85,"Siam","2025-09-28",3,3,5537.00,1845.67
86,"Lamisa","2025-09-23",0,5,9073.00,1814.60
86,"Lamisa","2025-09-23",1,3,6071.00,2023.67
86,"Lamisa","2025-09-23",2,3,6635.00,2211.67
86,"Lamisa","2025-09-23",3,2,3842.00,1921.00
87,"Sakib","2025-09-23",0,2,2833.00,1416.50
87,"Sakib","2025-09-23",1,7,16949.00,2421.29
87,"Sakib","2025-09-23",2,5,11061.00,2212.20
87,"Sakib","2025-09-23",3,2,4604.00,2302.00
88,"Akash","2025-09-17",0,7,13699.00,1957.00
88,"Akash","2025-09-17",1,2,6414.00,3207.00
88,"Akash","2025-09-17",2,3,4114.00,1371.33
88,"Akash","2025-09-17",3,2,7546.00,3773.00
89,"Sohag","2025-09-28",0,2,7628.00,3814.00
89,"Sohag","2025-09-28",1,1,3229.00,3229.00
89,"Sohag","2025-09-28",2,7,9389.00,1341.29
89,"Sohag","2025-09-28",3,3,5215.00,1738.33
90,"Heba","2025-09-21",0,3,3497.00,1165.67
90,"Heba","2025-09-21",1,3,2748.00,916.00
90,"Heba","2025-09-21",2,4,5660.00,1415.00
90,"Heba","2025-09-21",3,6,7519.00,1253.17
91,"Fahim","2025-09-15",0,1,675.00,675.00
91,"Fahim","2025-09-15",1,2,2100.00,1050.00
91,"Fahim","2025-09-15",2,6,18360.00,3060.00
91,"Fahim","2025-09-15",3,1,3045.00,3045.00
92,"Jahid",NULL,NULL,9,14747.00,1638.56
93,"Anika","2025-09-16",0,4,9951.00,2487.75
93,"Anika","2025-09-16",1,4,6832.00,1708.00
93,"Anika","2025-09-16",2,2,2228.00,1114.00
93,"Anika","2025-09-16",3,1,3707.00,3707.00
94,"Mim","2025-09-16",0,5,11250.00,2250.00
94,"Mim","2025-09-16",1,2,5325.00,2662.50
94,"Mim","2025-09-16",2,10,19560.00,1956.00
94,"Mim","2025-09-16",3,1,890.00,890.00
95,"Rafi","2025-09-16",0,3,4590.00,1530.00
95,"Rafi","2025-09-16",1,3,4361.00,1453.67
95,"Rafi","2025-09-16",2,7,14557.00,2079.57
95,"Rafi","2025-09-16",3,2,2895.00,1447.50
96,"Ehsan","2025-09-14",0,4,6682.00,1670.50
96,"Ehsan","2025-09-14",1,7,16282.00,2326.00
96,"Ehsan","2025-09-14",2,5,11974.00,2394.80
96,"Ehsan","2025-09-14",3,1,1084.00,1084.00
97,"Mariya",NULL,NULL,11,20643.00,1876.64
98,"Mehedi","2025-09-16",0,1,428.00,428.00
98,"Mehedi","2025-09-16",1,3,5451.00,1817.00
98,"Mehedi","2025-09-16",2,2,3009.00,1504.50
98,"Mehedi","2025-09-16",3,1,3710.00,3710.00
99,"Mahmud","2025-10-05",0,3,5192.00,1730.67
99,"Mahmud","2025-10-05",1,7,8582.00,1226.00
100,"Riana","2025-09-16",0,4,8355.00,2088.75
100,"Riana","2025-09-16",1,5,5774.00,1154.80
100,"Riana","2025-09-16",2,4,5790.00,1447.50
100,"Riana","2025-09-16",3,1,755.00,755.00
